År,UkeNr,Produkt,Ant_solgt,Kapasitet
2026,6,B2,138,168
2026,7,B2,143,168
2026,8,B2,148,168
2026,9,B2,132,168
2026,10,B2,126,168
2026,11,B2,119,168
2026,12,B2,127,168
2026,13,B2,93,168
2026,14,B2,89,168
2026,15,B2,122,168
2026,6,B1,191,144
2026,7,B1,149,144
2026,8,B1,142,144
2026,9,B1,117,144
2026,10,B1,131,144
2026,11,B1,168,144
2026,12,B1,190,144
2026,13,B1,153,144
2026,14,B1,104,144
2026,15,B1,135,144
2026,6,C1,36,48
2026,7,C1,39,48
2026,8,C1,24,48
2026,9,C1,27,48
2026,10,C1,30,48
2026,11,C1,44,48
2026,12,C1,30,48
2026,13,C1,18,48
2026,14,C1,10,48
2026,15,C1,31,48
2026,6,C2,16,18
2026,7,C2,8,18
2026,8,C2,7,18
2026,9,C2,17,18
2026,10,C2,14,18
2026,11,C2,16,18
2026,12,C2,11,18
2026,13,C2,17,18
2026,14,C2,23,18
2026,15,C2,20,18
2026,6,C4,19,12
2026,7,C4,11,12
2026,8,C4,9,12
2026,9,C4,10,12
2026,10,C4,8,12
2026,11,C4,10,12
2026,12,C4,14,12
2026,13,C4,4,12
2026,14,C4,5,12
2026,15,C4,14,12
2026,6,C3,10,12
2026,7,C3,20,12
2026,8,C3,6,12
2026,10,C3,10,12
2026,11,C3,13,12
2026,12,C3,15,12
2026,13,C3,6,12
2026,14,C3,12,12
2026,15,C3,17,12
2026,6,A1,404,63
2026,7,A1,443,63
2026,8,A1,475,63
2026,9,A1,392,63
2026,10,A1,382,63
2026,11,A1,406,63
2026,12,A1,454,63
2026,13,A1,427,63
2026,14,A1,336,63
2026,15,A1,451,63
2026,6,A2,235,21
2026,7,A2,192,21
2026,8,A2,96,21
2026,9,A2,149,21
2026,10,A2,191,21
2026,11,A2,209,21
2026,12,A2,212,21
2026,13,A2,127,21
2026,14,A2,87,21
2026,15,A2,412,21
