,margin,alloc_volum,alloc_margin,diff,salg_volum,salg_margin
A1,0.3,126,126,0,834.0,834.0
A10,0.5,42,42,0,120.4,120.4
A11,0.55,42,42,0,118.6,118.6
A12,0.3,42,42,0,114.8,114.8
A13,0.3,42,42,0,114.6,114.6
A14,0.3,42,39,-3,97.2,93.7
A2,0.55,39,42,3,382.0,382.0
A3,0.55,21,21,0,21.1,21.1
A4,0.55,21,21,0,15.5,15.5
A5,0.3,84,84,0,219.8,219.8
A6,0.55,42,42,0,156.4,156.4
A7,0.5,42,42,0,155.6,155.6
A8,0.3,21,21,0,36.5,36.5
A9,0.3,42,42,0,143.8,143.8
B1,0.3,32,21,-11,77.4,48.5
B2,0.3,21,21,0,48.1,48.1
B3,0.3,21,21,0,42.9,42.9
B4,0.3,21,21,0,37.7,37.7
B5,0.3,21,21,0,36.6,36.6
B6,0.3,21,21,0,32.6,32.6
B7,0.55,21,21,0,25.2,25.2
B8,0.55,21,21,0,23.7,23.7
B9,0.55,21,21,0,23.7,23.7
C1,0.55,18,21,3,35.1,46.8
C10,0.3,21,21,0,12.0,12.0
C11,0.55,21,21,0,4.0,4.0
C2,0.55,21,21,0,14.8,14.8
C3,0.55,24,32,8,30.8,41.1
C4,0.55,21,21,0,14.5,14.5
C5,0.55,24,24,0,14.8,14.8
C6,0.3,21,21,0,7.4,7.4
C7,0.55,18,18,0,8.0,8.0
C8,0.55,21,21,0,3.2,3.2
C9,0.3,21,21,0,12.0,12.0
