,facings_original,facings_min,facings_optimal,delta_facings,sales_original,sales_optimal,delta_sales,sales_gain_pct,demand_cap,productivity
A1,63,1,126,63,417.0,834.0,417.0,100.0,834.0,6.619
A10,21,1,42,21,60.2,120.4,60.2,100.0,120.4,2.867
A11,21,1,42,21,59.3,118.6,59.3,100.0,118.6,2.824
A12,21,1,42,21,57.4,114.8,57.4,100.0,114.8,2.733
A13,21,1,42,21,57.3,114.6,57.3,100.0,114.6,2.729
A14,21,1,42,21,48.6,97.2,48.6,100.0,97.2,2.314
A2,21,1,42,21,191.0,382.0,191.0,100.0,382.0,9.095
A3,147,1,1,-146,148.0,1.0,-147.0,-99.3,296.0,1.007
A4,168,1,1,-167,123.7,0.7,-123.0,-99.4,123.7,0.736
A5,42,1,84,42,109.9,219.8,109.9,100.0,219.8,2.617
A6,21,1,42,21,78.2,156.4,78.2,100.0,156.4,3.724
A7,21,1,42,21,77.8,155.6,77.8,100.0,155.6,3.705
A8,42,1,84,42,73.1,146.2,73.1,100.0,146.2,1.74
A9,21,1,42,21,71.9,143.8,71.9,100.0,143.8,3.424
B1,21,1,42,21,48.5,97.0,48.5,100.0,97.0,2.31
B2,42,1,84,42,96.2,192.4,96.2,100.0,192.4,2.29
B3,21,1,42,21,42.9,85.8,42.9,100.0,85.8,2.043
B4,21,1,42,21,37.7,75.4,37.7,100.0,75.4,1.795
B5,21,1,42,21,36.6,73.2,36.6,100.0,73.2,1.743
B6,21,1,42,21,32.6,65.2,32.6,100.0,65.2,1.552
B7,21,1,42,21,25.2,50.4,25.2,100.0,50.4,1.2
B8,21,1,3,-18,23.7,3.4,-20.3,-85.7,47.4,1.129
B9,21,1,1,-20,23.7,1.1,-22.6,-95.4,47.4,1.129
C1,12,1,24,12,23.4,46.8,23.4,100.0,46.8,1.95
C10,21,1,1,-20,12.0,0.6,-11.4,-95.0,12.0,0.571
C11,21,1,1,-20,4.0,0.2,-3.8,-95.0,4.0,0.19
C2,28,1,1,-27,19.8,0.7,-19.1,-96.5,19.8,0.707
C3,16,1,32,16,20.6,41.1,20.5,99.5,41.1,1.285
C4,21,1,1,-20,14.5,0.7,-13.8,-95.2,14.5,0.69
C5,24,1,1,-23,14.8,0.6,-14.2,-95.9,14.8,0.616
C6,21,1,1,-20,7.4,0.4,-7.0,-94.6,7.4,0.352
C7,12,1,1,-11,8.0,0.7,-7.3,-91.2,8.0,0.667
C8,21,1,1,-20,3.2,0.2,-3.0,-93.8,3.2,0.153
C9,21,1,1,-20,12.0,0.6,-11.4,-95.0,12.0,0.571
