,facings_original,facings_min,facings_optimal,delta_facings,secondary_optimal,sales_original,sales_optimal,delta_sales,sales_gain_pct,demand_cap,productivity,margin,brand
A1,63,3,126,63,0,417.0,834.0,417.0,100.0,834.0,6.619,0.3,MONSTER
A10,21,3,42,21,0,60.2,120.4,60.2,100.0,120.4,2.867,0.5,BURN
A11,21,3,42,21,0,59.3,118.6,59.3,100.0,118.6,2.824,0.55,URGE
A12,21,3,42,21,0,57.4,114.8,57.4,100.0,114.8,2.733,0.3,MONSTER
A13,21,3,42,21,0,57.3,114.6,57.3,100.0,114.6,2.729,0.3,MONSTER
A14,21,3,42,21,0,48.6,97.2,48.6,100.0,97.2,2.314,0.3,MONSTER
A2,21,3,42,21,0,191.0,382.0,191.0,100.0,382.0,9.095,0.55,POWERADE
A3,147,3,99,-48,0,148.0,99.7,-48.3,-32.6,296.0,1.007,0.55,COCA COLA
A4,168,3,3,-165,0,123.7,2.2,-121.5,-98.2,123.7,0.736,0.55,COCA COLA
A5,42,3,84,42,0,109.9,219.8,109.9,100.0,219.8,2.617,0.3,MONSTER
A6,21,3,42,21,0,78.2,156.4,78.2,100.0,156.4,3.724,0.55,COCA COLA
A7,21,3,42,21,0,77.8,155.6,77.8,100.0,155.6,3.705,0.5,BURN
A8,42,3,3,-39,0,73.1,5.2,-67.9,-92.9,146.2,1.74,0.3,MONSTER
A9,21,3,42,21,0,71.9,143.8,71.9,100.0,143.8,3.424,0.3,MONSTER
B1,21,3,42,21,0,48.5,97.0,48.5,100.0,97.0,2.31,0.3,MONSTER
B2,42,3,84,42,0,96.2,192.4,96.2,100.0,192.4,2.29,0.3,MONSTER
B3,21,3,42,21,0,42.9,85.8,42.9,100.0,85.8,2.043,0.3,MONSTER
B4,21,3,3,-18,0,37.7,5.4,-32.3,-85.7,75.4,1.795,0.3,MONSTER
B5,21,3,3,-18,0,36.6,5.2,-31.4,-85.8,73.2,1.743,0.3,MONSTER
B6,21,3,3,-18,0,32.6,4.7,-27.9,-85.6,65.2,1.552,0.3,MONSTER
B7,21,3,42,21,0,25.2,50.4,25.2,100.0,50.4,1.2,0.55,FANTA
B8,21,3,42,21,0,23.7,47.4,23.7,100.0,47.4,1.129,0.55,URGE
B9,21,3,42,21,0,23.7,47.4,23.7,100.0,47.4,1.129,0.55,FANTA
C1,12,3,24,12,0,23.4,46.8,23.4,100.0,46.8,1.95,0.55,BONAQUA
C10,21,3,3,-18,0,12.0,1.7,-10.3,-85.8,12.0,0.571,0.3,MONSTER
C11,21,3,3,-18,0,4.0,0.6,-3.4,-85.0,4.0,0.19,0.55,COCA COLA
C2,28,3,3,-25,0,19.8,2.1,-17.7,-89.4,19.8,0.707,0.55,COCA COLA
C3,16,3,32,16,0,20.6,41.1,20.5,99.5,41.1,1.285,0.55,FANTA
C4,21,3,3,-18,0,14.5,2.1,-12.4,-85.5,14.5,0.69,0.55,SPRITE
C5,24,3,3,-21,0,14.8,1.8,-13.0,-87.8,14.8,0.616,0.55,COCA COLA
C6,21,3,3,-18,0,7.4,1.1,-6.3,-85.1,7.4,0.352,0.3,MONSTER
C7,12,3,3,-9,0,8.0,2.0,-6.0,-75.0,8.0,0.667,0.55,BONAQUA
C8,21,3,3,-18,0,3.2,0.5,-2.7,-84.4,3.2,0.153,0.55,URGE
C9,21,3,3,-18,0,12.0,1.7,-10.3,-85.8,12.0,0.571,0.3,MONSTER
