,facings_original,facings_min,facings_optimal,delta_facings,sales_original,sales_optimal,delta_sales,sales_gain_pct,demand_cap,productivity
A1,63,15,126,63,417.0,834.0,417.0,100.0,834.0,6.619
A10,21,5,42,21,60.2,120.4,60.2,100.0,120.4,2.867
A11,21,5,42,21,59.3,118.6,59.3,100.0,118.6,2.824
A12,21,5,42,21,57.4,114.8,57.4,100.0,114.8,2.733
A13,21,5,42,21,57.3,114.6,57.3,100.0,114.6,2.729
A14,21,5,42,21,48.6,97.2,48.6,100.0,97.2,2.314
A2,21,5,42,21,191.0,382.0,191.0,100.0,382.0,9.095
A3,147,36,36,-111,148.0,36.2,-111.8,-75.5,296.0,1.007
A4,168,42,42,-126,123.7,30.9,-92.8,-75.0,123.7,0.736
A5,42,10,84,42,109.9,219.8,109.9,100.0,219.8,2.617
A6,21,5,42,21,78.2,156.4,78.2,100.0,156.4,3.724
A7,21,5,42,21,77.8,155.6,77.8,100.0,155.6,3.705
A8,42,10,67,25,73.1,116.6,43.5,59.5,146.2,1.74
A9,21,5,42,21,71.9,143.8,71.9,100.0,143.8,3.424
B1,21,5,42,21,48.5,97.0,48.5,100.0,97.0,2.31
B2,42,10,84,42,96.2,192.4,96.2,100.0,192.4,2.29
B3,21,5,42,21,42.9,85.8,42.9,100.0,85.8,2.043
B4,21,5,42,21,37.7,75.4,37.7,100.0,75.4,1.795
B5,21,5,42,21,36.6,73.2,36.6,100.0,73.2,1.743
B6,21,5,5,-16,32.6,7.8,-24.8,-76.1,65.2,1.552
B7,21,5,5,-16,25.2,6.0,-19.2,-76.2,50.4,1.2
B8,21,5,5,-16,23.7,5.6,-18.1,-76.4,47.4,1.129
B9,21,5,5,-16,23.7,5.6,-18.1,-76.4,47.4,1.129
C1,12,3,24,12,23.4,46.8,23.4,100.0,46.8,1.95
C10,21,5,5,-16,12.0,2.9,-9.1,-75.8,12.0,0.571
C11,21,5,5,-16,4.0,1.0,-3.0,-75.0,4.0,0.19
C2,28,7,7,-21,19.8,5.0,-14.8,-74.7,19.8,0.707
C3,16,4,4,-12,20.6,5.1,-15.5,-75.2,41.1,1.285
C4,21,5,5,-16,14.5,3.5,-11.0,-75.9,14.5,0.69
C5,24,6,6,-18,14.8,3.7,-11.1,-75.0,14.8,0.616
C6,21,5,5,-16,7.4,1.8,-5.6,-75.7,7.4,0.352
C7,12,3,3,-9,8.0,2.0,-6.0,-75.0,8.0,0.667
C8,21,5,5,-16,3.2,0.8,-2.4,-75.0,3.2,0.153
C9,21,5,5,-16,12.0,2.9,-9.1,-75.8,12.0,0.571
