,facings_original,facings_min,facings_optimal,delta_facings,secondary_optimal,sales_original,sales_optimal,delta_sales,sales_gain_pct,demand_cap,productivity,margin,brand
A1,63,31,95,32,0,417.0,625.5,208.5,50.0,625.5,6.619,0.3,MONSTER
A10,21,10,32,11,0,60.2,90.3,30.1,50.0,90.3,2.867,0.5,BURN
A11,21,10,32,11,0,59.3,89.0,29.7,50.1,88.9,2.824,0.55,URGE
A12,21,10,31,10,0,57.4,84.7,27.3,47.6,86.1,2.733,0.3,MONSTER
A13,21,10,31,10,0,57.3,84.6,27.3,47.6,85.9,2.729,0.3,MONSTER
A14,21,10,31,10,0,48.6,71.7,23.1,47.5,72.9,2.314,0.3,MONSTER
A2,21,10,32,11,0,191.0,286.5,95.5,50.0,286.5,9.095,0.55,POWERADE
A3,147,73,150,3,0,148.0,151.0,3.0,2.0,222.0,1.007,0.55,COCA COLA
A4,168,84,84,-84,0,123.7,61.9,-61.8,-50.0,123.7,0.736,0.55,COCA COLA
A5,42,21,63,21,0,109.9,164.8,54.9,50.0,164.9,2.617,0.3,MONSTER
A6,21,10,32,11,0,78.2,117.3,39.1,50.0,117.3,3.724,0.55,COCA COLA
A7,21,10,32,11,0,77.8,116.7,38.9,50.0,116.7,3.705,0.5,BURN
A8,42,21,21,-21,0,73.1,36.5,-36.6,-50.1,109.6,1.74,0.3,MONSTER
A9,21,10,31,10,0,71.9,106.1,34.2,47.6,107.8,3.424,0.3,MONSTER
B1,21,10,31,10,0,48.5,71.6,23.1,47.6,72.8,2.31,0.3,MONSTER
B2,42,21,63,21,0,96.2,144.3,48.1,50.0,144.3,2.29,0.3,MONSTER
B3,21,10,31,10,0,42.9,63.3,20.4,47.6,64.4,2.043,0.3,MONSTER
B4,21,10,10,-11,0,37.7,18.0,-19.7,-52.3,56.6,1.795,0.3,MONSTER
B5,21,10,10,-11,0,36.6,17.4,-19.2,-52.5,54.9,1.743,0.3,MONSTER
B6,21,10,10,-11,0,32.6,15.5,-17.1,-52.5,48.9,1.552,0.3,MONSTER
B7,21,10,31,10,0,25.2,37.2,12.0,47.6,37.8,1.2,0.55,FANTA
B8,21,10,31,10,0,23.7,35.0,11.3,47.7,35.6,1.129,0.55,URGE
B9,21,10,31,10,0,23.7,35.0,11.3,47.7,35.6,1.129,0.55,FANTA
C1,12,6,18,6,0,23.4,35.1,11.7,50.0,35.1,1.95,0.55,BONAQUA
C10,21,10,10,-11,0,12.0,5.7,-6.3,-52.5,12.0,0.571,0.3,MONSTER
C11,21,10,10,-11,0,4.0,1.9,-2.1,-52.5,4.0,0.19,0.55,COCA COLA
C2,28,14,14,-14,0,19.8,9.9,-9.9,-50.0,19.8,0.707,0.55,COCA COLA
C3,16,8,24,8,0,20.6,30.8,10.2,49.5,30.8,1.285,0.55,FANTA
C4,21,10,10,-11,0,14.5,6.9,-7.6,-52.4,14.5,0.69,0.55,SPRITE
C5,24,12,12,-12,0,14.8,7.4,-7.4,-50.0,14.8,0.616,0.55,COCA COLA
C6,21,10,10,-11,0,7.4,3.5,-3.9,-52.7,7.4,0.352,0.3,MONSTER
C7,12,6,6,-6,0,8.0,4.0,-4.0,-50.0,8.0,0.667,0.55,BONAQUA
C8,21,10,10,-11,0,3.2,1.5,-1.7,-53.1,3.2,0.153,0.55,URGE
C9,21,10,10,-11,0,12.0,5.7,-6.3,-52.5,12.0,0.571,0.3,MONSTER
