pseudonym,dagens,lp_s2,H1 Prop-salg,H2 Prop-margin×salg,H3 ABC-flatt 80/15/5,H4 Behold dagens
A1,63,126,94,75,42,63
A10,21,42,32,34,43,21
A11,21,42,31,35,42,21
A12,21,42,31,28,42,21
A13,21,42,31,28,42,21
A14,21,39,30,27,26,21
A2,21,42,54,66,42,21
A3,147,21,47,56,42,147
A4,168,21,43,50,42,168
A5,42,84,40,35,42,42
A6,21,42,35,40,42,21
A7,21,42,35,38,42,21
A8,42,21,34,30,42,42
A9,21,42,34,30,42,21
B1,21,21,29,27,26,21
B2,42,21,38,33,42,42
B3,21,21,28,27,26,21
B4,21,21,28,26,26,21
B5,21,21,27,26,26,21
B6,21,21,27,25,26,21
B7,21,21,25,27,26,21
B8,21,21,25,27,26,21
B9,21,21,25,27,26,21
C1,12,21,22,24,23,12
C10,21,21,23,23,23,21
C11,21,21,22,22,23,21
C2,28,21,24,26,23,28
C3,16,32,28,29,26,16
C4,21,21,24,24,23,21
C5,24,24,27,27,26,24
C6,21,21,22,22,23,21
C7,12,18,19,20,20,12
C8,21,21,22,22,23,21
C9,21,21,23,23,23,21
