scenario,overserve,pseudonym,utilization,mean_sales,d_i,tapt_enheter,margin,tapt_margin,er_oos
hovedscenario,2.0,C7,0.6666666666666666,8.0,8.0,0.0,0.55,0.0,False
hovedscenario,2.0,C1,1.95,23.4,46.8,23.4,0.55,12.870000000000001,True
hovedscenario,2.0,A10,2.8666666666666667,60.2,120.4,60.2,0.5,30.1,True
hovedscenario,2.0,A7,3.7047619047619045,77.8,155.6,77.8,0.5,38.9,True
hovedscenario,2.0,A6,3.723809523809524,78.2,156.4,78.2,0.55,43.010000000000005,True
hovedscenario,2.0,C2,0.7071428571428572,19.8,19.8,0.0,0.55,0.0,False
hovedscenario,2.0,A4,0.7363095238095239,123.7,123.7,0.0,0.55,0.0,False
hovedscenario,2.0,C5,0.6157407407407408,14.777777777777779,14.777777777777779,0.0,0.55,0.0,False
hovedscenario,2.0,A3,1.0068027210884354,148.0,296.0,148.0,0.55,81.4,True
hovedscenario,2.0,C11,0.19047619047619047,4.0,4.0,0.0,0.55,0.0,False
hovedscenario,2.0,B7,1.2,25.2,50.4,25.2,0.55,13.860000000000001,True
hovedscenario,2.0,B9,1.1285714285714286,23.7,47.4,23.7,0.55,13.035,True
hovedscenario,2.0,C3,1.2847222222222223,20.555555555555557,41.111111111111114,20.555555555555557,0.55,11.305555555555557,True
hovedscenario,2.0,C10,0.5714285714285714,12.0,12.0,0.0,0.3,0.0,False
hovedscenario,2.0,B3,2.0428571428571427,42.9,85.8,42.9,0.3,12.87,True
hovedscenario,2.0,A14,2.3142857142857145,48.6,97.2,48.6,0.3,14.58,True
hovedscenario,2.0,C6,0.3523809523809524,7.4,7.4,0.0,0.3,0.0,False
hovedscenario,2.0,B2,2.2904761904761903,96.2,192.4,96.2,0.3,28.86,True
hovedscenario,2.0,B4,1.7952380952380953,37.7,75.4,37.7,0.3,11.31,True
hovedscenario,2.0,A8,1.7404761904761903,73.1,146.2,73.1,0.3,21.929999999999996,True
hovedscenario,2.0,B5,1.7428571428571429,36.6,73.2,36.6,0.3,10.98,True
hovedscenario,2.0,B6,1.5523809523809524,32.6,65.2,32.6,0.3,9.78,True
hovedscenario,2.0,C9,0.5714285714285714,12.0,12.0,0.0,0.3,0.0,False
hovedscenario,2.0,B1,2.3095238095238093,48.5,97.0,48.5,0.3,14.549999999999999,True
hovedscenario,2.0,A12,2.7333333333333334,57.4,114.8,57.4,0.3,17.22,True
hovedscenario,2.0,A5,2.6166666666666667,109.9,219.8,109.9,0.3,32.97,True
hovedscenario,2.0,A1,6.619047619047619,417.0,834.0,417.0,0.3,125.1,True
hovedscenario,2.0,A13,2.7285714285714286,57.3,114.6,57.3,0.3,17.189999999999998,True
hovedscenario,2.0,A9,3.423809523809524,71.9,143.8,71.9,0.3,21.57,True
